STAR --genomeDir data/references  --outSAMunmapped Within  --outFilterType BySJout  --outSAMattributes NH HI AS NM MD  --outFilterMultimapNmax 20  --outFilterMismatchNmax 999  --outFilterMismatchNoverLmax 0.04  --alignIntronMin 20  --alignIntronMax 1000000  --alignMatesGapMax 1000000  --alignSJoverhangMin 8  --alignSJDBoverhangMin 1  --sjdbScore 1  --runThreadN 2  --genomeLoad NoSharedMemory  --outSAMtype BAM Unsorted  --quantMode TranscriptomeSAM  --outSAMheaderHD @HD VN:1.4 SO:unsorted  --outFileNamePrefix results/RSEM/HBR2_1/tmp/rsem  --readFilesCommand zcat  --readFilesIn data/trimmed/HBR2_1.fastq.gz 
Dec 17 16:37:27 ..... started STAR run
Dec 17 16:37:27 ..... loading genome
Dec 17 16:37:28 ..... started mapping
Dec 17 16:37:31 ..... finished mapping
Dec 17 16:37:31 ..... finished successfully

rsem-parse-alignments data/references/rsem results/RSEM/HBR2_1/tmp/rsem results/RSEM/HBR2_1/rsem.stat/rsem results/RSEM/HBR2_1/tmp/rsem.bam 1 -tag XM
Done!

rsem-build-read-index 32 1 0 results/RSEM/HBR2_1/tmp/rsem_alignable.fq
Build Index results/RSEM/HBR2_1/tmp/rsem_alignable.fq is Done!

rsem-run-em data/references/rsem 1 results/RSEM/HBR2_1/rsem results/RSEM/HBR2_1/tmp/rsem results/RSEM/HBR2_1/rsem.stat/rsem -p 2 -b results/RSEM/HBR2_1/tmp/rsem.bam 0
Refs.loadRefs finished!
Thread 0 : N = 48918, NHit = 116080
Thread 1 : N = 68902, NHit = 116081
EM_init finished!
estimateFromReads, N0 finished.
estimateFromReads, N1 finished.
ROUND = 1, SUM = 117870, bChange = 891.231, totNum = 4563
ROUND = 2, SUM = 117870, bChange = 0.967933, totNum = 3062
ROUND = 3, SUM = 117870, bChange = 0.944943, totNum = 3031
ROUND = 4, SUM = 117870, bChange = 0.884445, totNum = 2931
ROUND = 5, SUM = 117870, bChange = 0.834975, totNum = 2831
ROUND = 6, SUM = 117870, bChange = 0.791055, totNum = 2724
ROUND = 7, SUM = 117870, bChange = 0.717483, totNum = 2630
ROUND = 8, SUM = 117870, bChange = 0.641039, totNum = 2534
ROUND = 9, SUM = 117870, bChange = 0.652082, totNum = 2431
ROUND = 10, SUM = 117870, bChange = 0.660157, totNum = 2330
ROUND = 11, SUM = 117870, bChange = 0.666169, totNum = 2257
ROUND = 12, SUM = 117870, bChange = 0.542511, totNum = 2173
ROUND = 13, SUM = 117870, bChange = 0.523098, totNum = 2096
ROUND = 14, SUM = 117870, bChange = 0.534449, totNum = 2026
ROUND = 15, SUM = 117870, bChange = 0.516093, totNum = 1971
ROUND = 16, SUM = 117870, bChange = 0.469709, totNum = 1921
ROUND = 17, SUM = 117870, bChange = 0.401132, totNum = 1865
ROUND = 18, SUM = 117870, bChange = 0.36812, totNum = 1823
ROUND = 19, SUM = 117870, bChange = 0.368868, totNum = 1765
ROUND = 20, SUM = 117870, bChange = 0.332261, totNum = 1719
ROUND = 21, SUM = 117870, bChange = 0.333964, totNum = 1686
ROUND = 22, SUM = 117870, bChange = 0.336738, totNum = 1648
ROUND = 23, SUM = 117870, bChange = 0.341331, totNum = 1607
ROUND = 24, SUM = 117870, bChange = 0.445292, totNum = 1556
ROUND = 25, SUM = 117870, bChange = 0.47378, totNum = 1503
ROUND = 26, SUM = 117870, bChange = 0.495889, totNum = 1460
ROUND = 27, SUM = 117870, bChange = 0.509397, totNum = 1430
ROUND = 28, SUM = 117870, bChange = 0.511261, totNum = 1399
ROUND = 29, SUM = 117870, bChange = 0.497816, totNum = 1377
ROUND = 30, SUM = 117870, bChange = 0.465733, totNum = 1350
ROUND = 31, SUM = 117870, bChange = 0.414046, totNum = 1314
ROUND = 32, SUM = 117870, bChange = 0.346536, totNum = 1292
ROUND = 33, SUM = 117870, bChange = 0.272185, totNum = 1264
ROUND = 34, SUM = 117870, bChange = 0.232227, totNum = 1235
ROUND = 35, SUM = 117870, bChange = 0.232304, totNum = 1211
ROUND = 36, SUM = 117870, bChange = 0.232368, totNum = 1186
ROUND = 37, SUM = 117870, bChange = 0.23242, totNum = 1165
ROUND = 38, SUM = 117870, bChange = 0.221979, totNum = 1129
ROUND = 39, SUM = 117870, bChange = 0.222083, totNum = 1115
ROUND = 40, SUM = 117870, bChange = 0.187568, totNum = 1094
ROUND = 41, SUM = 117870, bChange = 0.187747, totNum = 1076
ROUND = 42, SUM = 117870, bChange = 0.187916, totNum = 1054
ROUND = 43, SUM = 117870, bChange = 0.187802, totNum = 1032
ROUND = 44, SUM = 117870, bChange = 0.188522, totNum = 1018
ROUND = 45, SUM = 117870, bChange = 0.189199, totNum = 1000
ROUND = 46, SUM = 117870, bChange = 0.17543, totNum = 991
